run_id,test_name,fleet_name,provisioning_time,instance_type,region_az,quantity,price,total_price,avg_price_test,allocated_instances
1,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,25.5,m5.24xlarge,sa-east-1a,2,0.7372,1.4744,2.4592,10
1,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,25.5,m6i.24xlarge,sa-east-1a,1,3.8643,3.8643,2.4592,10
1,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,25.5,m7i.24xlarge,sa-east-1b,5,3.5857,17.9285,2.4592,10
1,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,25.5,m5a.24xlarge,sa-east-1b,2,0.6624,1.3248,2.4592,10
2,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,23.23,r7i.24xlarge,sa-east-1a,2,3.0992,6.1984,1.82454,10
2,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,23.23,m6a.24xlarge,sa-east-1a,2,3.6861,7.3722,1.82454,10
2,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,23.23,m5a.24xlarge,sa-east-1b,5,0.6762,3.3810000000000002,1.82454,10
2,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,23.23,m5ad.24xlarge,sa-east-1c,1,1.2938,1.2938,1.82454,10
3,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,21.76,m5a.24xlarge,sa-east-1b,7,0.6928,4.8496,0.8121700000000001,10
3,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,21.76,r5.24xlarge,sa-east-1c,2,0.9795,1.959,0.8121700000000001,10
3,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,AWS-FVBR-FLEET-1,21.76,m5ad.24xlarge,sa-east-1c,1,1.3131,1.3131,0.8121700000000001,10
mean,Single-Cloud-AWS-sa-east-1-Price-Capacity-Optimized-N10,,23.654545454545453,,,,,,1.779224545454546,10
